timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624669716993,185,HTTP Request/ Music,200,,Spike test 1-2254,text,true,,7277,116,1903,1903,http://localhost:8082/,185,0,1
1624669716863,315,HTTP Request/ Music,200,,Spike test 1-1096,text,true,,7277,116,1903,1903,http://localhost:8082/,315,0,1
1624669716841,337,HTTP Request/ Music,200,,Spike test 1-1410,text,true,,7277,116,1903,1903,http://localhost:8082/,337,0,2
1624669716990,188,HTTP Request/ Music,200,,Spike test 1-1531,text,true,,7277,116,1903,1903,http://localhost:8082/,188,0,2
1624669716859,316,HTTP Request/ Music,200,,Spike test 1-300,text,true,,7277,116,1903,1903,http://localhost:8082/,316,0,1
1624669716747,480,HTTP Request/ Music,200,,Spike test 1-2305,text,true,,7277,116,1903,1903,http://localhost:8082/,480,0,234
1624669716859,365,HTTP Request/ Music,200,,Spike test 1-1628,text,true,,7277,116,1903,1903,http://localhost:8082/,365,0,1
1624669716981,1834,HTTP Request/ Music,200,,Spike test 1-1540,text,true,,7277,116,2066,2066,http://localhost:8082/,1834,0,1
1624669716398,2417,HTTP Request/ Music,200,,Spike test 1-1267,text,true,,7277,116,2066,2066,http://localhost:8082/,2417,0,518
1624669716982,1836,HTTP Request/ Music,200,,Spike test 1-1500,text,true,,7277,116,2066,2066,http://localhost:8082/,1836,0,1
1624669716414,2404,HTTP Request/ Music,200,,Spike test 1-1206,text,true,,7277,116,2066,2066,http://localhost:8082/,2404,0,475
1624669716880,1939,HTTP Request/ Music,200,,Spike test 1-308,text,true,,7277,116,2066,2066,http://localhost:8082/,1939,0,2
1624669716903,1916,HTTP Request/ Music,200,,Spike test 1-1226,text,true,,7277,116,2066,2066,http://localhost:8082/,1916,0,1
1624669716979,1841,HTTP Request/ Music,200,,Spike test 1-2336,text,true,,7277,116,2066,2066,http://localhost:8082/,1841,0,1
1624669716874,1947,HTTP Request/ Music,200,,Spike test 1-2135,text,true,,7277,116,2066,2066,http://localhost:8082/,1947,0,2
1624669716889,1934,HTTP Request/ Music,200,,Spike test 1-315,text,true,,7277,116,2066,2066,http://localhost:8082/,1934,0,1
